speaker,stage,paragraph,source_file,Sound: Ja/Nein?,Lautstärkeniveau (0;1-5)
DER PRINZ,"sagt heftig, aber sich gleich wieder fassend.","Marinelli! – Doch, Sie sollen mich nicht wild machen. – Es sei so – Es ist so! Und das wollen Sie doch nur sagen: der Tod des Grafen ist für mich ein Glück – das größte Glück, was mir begegnen konnte, – das einzige Glück, was meiner Liebe zu statten kommen konnte. Und als dieses, – mag er doch geschehen sein, wie er will! – Ein Graf mehr in der Welt, oder weniger! Denke ich Ihnen so recht? – Topp! auch ich erschrecke vor einem kleinen Verbrechen nicht. Nur, guter Freund, muß es ein kleines stilles Verbrechen, ein kleines heilsames Verbrechen sein. Und sehen Sie, unseres da, wäre nun gerade weder stille noch heilsam. Es hätte den Weg zwar gereiniget, aber zugleich gesperrt. Jedermann würde es uns auf den Kopf zusagen, – und leider hätten wir es gar nicht einmal begangen! – Das liegt doch wohl nur bloß an Ihren weisen, wunderbaren Anstalten?",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt sich vor die Stirne schlagend.,Verwünscht!,lessing-emilia-galotti.xml,Ja,
BATTISTA,sagt eiligst.,Eben kömmt die Gräfin an.,lessing-emilia-galotti.xml,Ja,
ORSINA,sagt ohne den Marinelli anfangs zu erblicken.,"Was ist das? – Niemand kömmt mir entgegen, außer ein Unverschämter, der mir lieber gar den Eintritt verweigert hätte? – Ich bin doch zu Dosalo? Zu dem Dosalo, wo mir sonst ein ganzes Heer geschäftiger Augendiener entgegen stürzte? wo mich sonst Liebe und Entzücken erwarteten? – Der Ort ist es; aber, aber! – Sieh' da, Marinelli! – Recht gut, daß der Prinz Sie mitgenommen. – Nein, nicht gut! Was ich mit ihm auszumachen hätte, hätte ich nur mit ihm auszumachen. – Wo ist er?",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt  der sie zurück hält,Wohin?,lessing-emilia-galotti.xml,Ja,
ORSINA,sagt heftig.,Nicht gelesen? –,lessing-emilia-galotti.xml,Ja,
ORSINA,sagt stolz.,"Verachtung? – Wer denkt daran? – Wem brauchen Sie das zu sagen? – Sie sind ein unverschämter Tröster, Marinelli! – Verachtung! Verachtung! Mich verachtet man auch! mich! –",lessing-emilia-galotti.xml,Ja,
ORSINA,sagt höhnisch.,"Allerdings? – O des weisen Mannes, den man sagen lassen kann, was man will! – Gleichgültigkeit! Gleichgültigkeit an die Stelle der Liebe? – Das heißt, Nichts an die Stelle von Etwas. Denn lernen Sie, nachplauderndes Hofmännchen, lernen Sie von einem Weibe, daß Gleichgültigkeit ein leeres Wort, ein bloßer Schall ist, dem nichts, gar nichts entspricht. Gleichgültig ist die Seele nur gegen das, woran sie nicht denkt; nur gegen ein Ding, das für sie kein Ding ist. Und nur gleichgültig für ein Ding, das kein Ding ist, – das ist so viel, als gar nicht gleichgültig. – Ist dir das zu hoch, Mensch?",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt vor sich.,"O weh! wie wahr ist es, was ich fürchtete!",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt vor sich.,Das geht weit! – Aber gnädige Gräfin –,lessing-emilia-galotti.xml,Ja,
DER PRINZ,"sagt  indem er aus dem Kabinette tritt, vor sich",Ich muß ihm zu Hülfe kommen –,lessing-emilia-galotti.xml,Ja,
ORSINA,"sagt  die ihn erblickt, aber unentschlüssig bleibt, ob sie auf ihn zugehen
  soll",Ha! da ist er.,lessing-emilia-galotti.xml,Ja,
DER PRINZ,"sagt  geht quer über den Saal, bei ihr vorbei, nach den andern Zimmern, ohne sich im
  Reden aufzuhalten","Sieh da! unsere schöne Gräfin. – Wie sehr betaure ich, Madame, daß ich mir die Ehre Ihres Besuchs für heute so wenig zu Nutze machen kann! Ich bin beschäftiget. Ich bin nicht allein. – Ein andermal, meine liebe Gräfin! Ein andermal. – Itzt halten Sie länger sich nicht auf. Ja nicht länger! – Und Sie, Marinelli, ich erwarte Sie. –",lessing-emilia-galotti.xml,Ja,
ORSINA,sagt wie betäubt.,Hab' ich? hab' ich wirklich?,lessing-emilia-galotti.xml,Ja,
ORSINA,sagt mit Rührung.,"»Ich bin beschäftiget. Ich bin nicht allein.« Ist das die Entschuldigung ganz, die ich wert bin? Wen weiset man damit nicht ab? Jeden Überlästigen, jeden Bettler. Für mich keine einzige Lüge mehr? Keine einzige kleine Lüge mehr, für mich? – Beschäftiget? womit denn? Nicht allein? wer wäre denn bei ihm? – Kommen Sie, Marinelli; aus Barmherzigkeit, lieber Marinelli! Lügen Sie mir eines auf eigene Rechnung vor. Was kostet Ihnen denn eine Lüge? – Was hat er zu tun? Wer ist bei ihm? – Sagen Sie mir; sagen sie mir, was Ihnen zuerst in den Mund kömmt, – und ich gehe.",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt vor sich.,"Mit dieser Bedingung, kann ich ihr ja wohl einen Teil der Wahrheit sagen.",lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt vor sich.,Sollte ich ihr schon zu viel gesagt haben?,lessing-emilia-galotti.xml,Ja,
MARINELLI,"sagt  indem er ihn erblicket, vor sich",Nun vollends! der Alte! –,lessing-emilia-galotti.xml,Ja,
MARINELLI,sagt sie bei der Hand nicht unsanft ergreifend.,"Erlauben Sie, daß ich meine Schuldigkeit beobachte. –",lessing-emilia-galotti.xml,Ja,
MARINELLI,"sagt  leise zu dem Obersten, den er bei Seite ziehet","Mein Herr, ich muß Sie hier mit einer Dame lassen, die – der – mit deren Verstande – Sie verstehen mich. Ich sage Ihnen",lessing-emilia-galotti.xml,Ja,
ORSINA,"sagt nach einigem Stillschweigen, unter welchem sie den Obersten mit Mitleid
  betrachtet; so wie er sie, mit einer flüchtigen Neugierde.","Was er Ihnen auch da gesagt hat, unglücklicher Mann! –",lessing-emilia-galotti.xml,Ja,
ODOARDO,"sagt halb vor sich, halb gegen sie.",Unglücklicher?,lessing-emilia-galotti.xml,Ja,
CLAUDIA,"sagt  die im Hereintreten sich umsiehet, und sobald sie ihren Gemahl erblickt, auf ihn
  zuflieget","Erraten! – Ah, unser Beschützer, unser Retter! Bist du da, Odoardo? Bist du da? – Aus ihren Wispern, aus ihren Mienen schloß ich es. – Was soll ich dir sagen, wenn du noch nichts weißt? – Was soll ich dir sagen, wenn du schon alles weißt? – Aber wir sind unschuldig. Ich bin unschuldig. Deine Tochter ist unschuldig. Unschuldig, in allem unschuldig!",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt der sich bei Erblickung seiner Gemahlin zu fassen gesucht.,"Gut, gut. Sei nur ruhig, nur ruhig, – und antworte mir.",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt mit einem bittern Lachen.,"Ich wollt' auch nicht, Sie hätten! Um wie vieles nicht!",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt wild hin und her gehend.,"O, – noch bin ich es auch nicht.",lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt drohend.,"Nur, Marinelli! –",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt hitzig.,"Erwägen! erwägen! Ich erwäge, daß hier nichts zu erwägen ist. – Sie soll, sie muß mit mir.",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt gegen Marinelli.,"Nun, mein Herr?",lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt höhnisch.,Nicht? wirklich nicht?,lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt bitter.,Ei! ein Nebenbuhler?,lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt schmeichelhaft auf ihn zutretend.,"Fassen Sie sich, lieber Galotti –",lessing-emilia-galotti.xml,Ja,
ODOARDO,"sagt  bei Seite, indem er die Hand leer wieder heraus zieht",Das sprach sein Engel!,lessing-emilia-galotti.xml,Ja,
ODOARDO,sagt der in tiefen Gedanken gestanden.,"Wie? so soll ich sie gar nicht sprechen meine Tochter? Auch hier nicht? – Ich lasse mir ja alles gefallen; ich finde ja alles ganz vortrefflich. Das Haus eines Kanzlers ist natürlicher Weise eine Freistatt der Tugend. O, gnädiger Herr, bringen Sie ja meine Tochter dahin; nirgends anders als dahin. – Aber sprechen wollt' ich sie doch gern vorher. Der Tod des Grafen ist ihr noch unbekannt. Sie wird nicht begreifen können, warum man sie von ihren Eltern trennet. Ihr jenen auf gute Art beizubringen; sie dieser Trennung wegen zu beruhigen; – muß ich sie sprechen, gnädiger Herr, muß ich sie sprechen.",lessing-emilia-galotti.xml,Ja,
ODOARDO GALOTTI,sagt ihm nachsehend; nach einer Pause.,Warum nicht? – Herzlich gern – Ha! ha! ha! –,lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt im Hereintreten.,Was ist das? – Ist Emilien nicht wohl?,lessing-emilia-galotti.xml,Ja,
DER PRINZ,sagt  indem er näher kömmt,Was seh' ich? – Entsetzen!,lessing-emilia-galotti.xml,Ja,
DER PRINZ,"sagt nach einigem Stillschweigen, unter welchem er den Körper mit Entsetzen und
  Verzweiflung betrachtet, zu Marinelli.",Hier! heb' ihn auf. – Nun? Du bedenkst dich? – Elender! –,lessing-emilia-galotti.xml,Ja,
