ID,speaker,stage,paragraph,source_file,Sound: Ja/Nein?,Lautstärkeniveau (0;1-5),Kommentar
3441,GEORG,"Dufroy, der immer noch zögert, gut zuredend.",Erfüll ihm schon den Wunsch ... und sei überzeugt ...,holz-ignorabimus.xml,ja,,
2219,DUFROY,"Georg beschwörend, unterdrückt-heftig.","Ich bitte dich, nun endlich ...",holz-ignorabimus.xml,ja,,
381,MARIANNE,"Georg groß anstarrend; während Onkel Ludwig sich damit »begnügt«, ihm nur mit einer
  ungläubigen Miene und Geste zu replizieren.",Darauf gibst du mir ... dein Versprechen?,holz-ignorabimus.xml,nein,,
3434,MARIANNE,Georg voll anblickend; noch gesteigerter als vorhin.,Daß du dein ... verpfändetes Wort ...,holz-ignorabimus.xml,nein,,
2776,DUFROY,"Georgs momentane Seelenstimmung begreifend, wenn auch durch seine Worte nicht grade
  angenehm berührt.",Ich kann deine großmütige Absolution ...,holz-ignorabimus.xml,nein,,
1262,ONKEL LUDWIG,"Geste, lebhaft mit beiden Händen.","Alles, alles, was du ...",holz-ignorabimus.xml,nein,,
3140,DUFROY,"Geste, wie ihn »tröstend«.","Nun ... nimm s weiter nicht tragisch, und ...",holz-ignorabimus.xml,nein,,
1354,ONKEL LUDWIG,"Geste; »grandios«, emphatisch.",Auch das Supranormalste geht bei uns natürlich zu!,holz-ignorabimus.xml,nein,,
2859,DUFROY,Geste; sagt abwehrend.,Du ... kannst ...,holz-ignorabimus.xml,ja,,
900,ONKEL LUDWIG,Geste; geschmeichelt abwehrend.,Unberufen! Unberufen!,holz-ignorabimus.xml,nein,,
1247,DUFROY,"Geste; ihn beruhigend; aber dabei doch diplomatisch für Onkel Ludwig Partei
  ergreifend.","Auch mir, lieber Georg ...",holz-ignorabimus.xml,nein,,
3181,DUFROY,Geste; ihn wieder beruhigend.,"Ich kann und will ... über meine Mutter nachträglich nicht rechten! Ich klage dich absolut nicht an! Aber der erbitterte Abscheu, der einfach beleidigende, verächtliche Haß, mit dem du dich durch deine beharrliche Weigrung, deine »verfemten Füße«, wie du dies eben nanntest ...",holz-ignorabimus.xml,nein,,
3085,ONKEL LUDWIG,Geste; sagt kläglich.,Du ... darfst ...,holz-ignorabimus.xml,ja,,
3776,MARIANNE,Geste; leicht ablehnend.,Danke! ... Nein! ... Ich kann ... wenn ich ... den Kopf ...,holz-ignorabimus.xml,nein,,
2682,DUFROY,Geste; sagt mißbilligend.,Man braucht doch nicht deshalb ...,holz-ignorabimus.xml,ja,,
716,MARIANNE,Geste; unterdrückt-ungeduldig; Tonfall fast erstaunt.,Ihr habt euch so gut ... wie die ganzen Jahre nicht gesehn ... es würde sich also einrichten lassen ...,holz-ignorabimus.xml,ja,,
1411,ONKEL LUDWIG,"Geste; wie den ganzen »Kirchen- und Kommerzienrat« damit endgültig erledigend;
  brummend vor sich hin.",Gott hab ihn selig!,holz-ignorabimus.xml,ja,,
3017,DUFROY,Geste.,Laß es nun ...,holz-ignorabimus.xml,nein,,
780,GEORG,"Hohn, Grimm, Schmerz, Selbsthaß, Verzweiflung.",Nein! ... Leider nicht! ... Allerdings nicht!,holz-ignorabimus.xml,nein,,
1044,DUFROY,Kopf und Stimme womöglich noch erhobner.,"Ja! Und ich ersuche dich dringend ... mich mit solchen, oder auch nur ähnlichen Allotriis ...",holz-ignorabimus.xml,ja,,
1199,DUFROY,"Marianne noch immer nicht wieder anblickend; schwankend, unschlüssig, im letzten
  und eigentlichsten aber doch schon gewonnen; wieder helle Sonne.",Und ... mein Bruder? ... Wenn ich nun wirklich ... mich überwinden ... und an eurer Sitzung teilnehmen wollte ... würde der nicht sofort wieder ...,holz-ignorabimus.xml,nein,,
2380,UEXKÜLL,"Marianne wieder zur Hilfe kommend; ebenso zu Dufroy, wie zu Onkel Ludwig; die
  letzten Worte unwillkürlich etwas nach der Tür zurück.","Es würde sich doch aber ... schließlich lohnen, genau ... wie vorhin mit dieser Kleidung ...",holz-ignorabimus.xml,nein,,
2972,ONKEL LUDWIG,"Marianne, die wieder wie vollkommen leblos liegt, noch immer anstarrend.",Das ... kann ich dir ... nicht ...,holz-ignorabimus.xml,nein,,
1572,UEXKÜLL,"Onkel Ludwig ignorierend; aufgebracht; sagt halb zu Dufroy und Georg, halb nach dem
  Vorhang hin.","So lange Herr Professor uns verwehrt, daß wir uns mit eignen Augen nochmals vergewissern ...",holz-ignorabimus.xml,ja,,
3446,DUFROY,Onkel Ludwig seinen linken Arm bietend.,Lieber Bruder?,holz-ignorabimus.xml,nein,,
1575,GEORG,"Onkel Ludwig unterbrechend; schärfst; seine instinktiv-prinzipielle Gegnerschaft
  gegen den von ihm »Gehaßten« wieder aufnehmend.","Herr Baron hat das Kabinett bereits abgesucht bis auf jeden Millimeter, und ich muß mir daher im Augenblick, wo die Phänomene sich jetzt entwickeln, die ungehörige Zumutung ...",holz-ignorabimus.xml,ja,,
719,GEORG,"sagt »alles ablehnend«; erst ruckweis und stockend, dann ausbrechend und zuletzt in
  konzentriertester zugleich Qual und Energie.","Ich kann ... und will mein Leben ... aus dem sich jetzt ... vielleicht doch noch wieder ... etwas schaffen und gestalten läßt ... nicht, wie ein gefangnes Tier, in diesem entseuchen Käfig verbringen!",holz-ignorabimus.xml,ja,,
1384,DUFROY,"sagt »diplomatisch«; seinem »Antagonisten« nun doch etwas »zukommen« lassend; leis
  verweisender Tonfall gegen Uexküll.",Ich glaube in diesem Fall allerdings auch ...,holz-ignorabimus.xml,ja,,
1242,UEXKÜLL,sagt »diskret«.,Aber ich bitte!,holz-ignorabimus.xml,ja,,
1430,ONKEL LUDWIG,sagt »geharnischt«; wie auf einmal ganz »aus dem Häuschen«.,"»Glaubst«, »glaubst«, »glaubst«!",holz-ignorabimus.xml,ja,,
1057,DUFROY,sagt »giftig«.,Deines neuen Credo quia absurdum est!,holz-ignorabimus.xml,ja,,
670,GEORG,sagt »grausam-unbarmherzig«; wieder auf und ab.,"Diese obskure, christliche Herberge in der Naunynstraße und der Wirkliche Herr Geheime Oberregierungsrat, Exzellenz, de- und wehmütigst",holz-ignorabimus.xml,ja,,
1813,ONKEL LUDWIG,sagt »hetzend«.,»Dir unter vier Augen ...«,holz-ignorabimus.xml,ja,,
1157,DUFROY,sagt »in die Ecke gedrängt«-ausweichend.,Es wäre immerhin möglich ... und vielleicht schließlich gar nicht einmal so weit von sich abzuweisen ... daß unter Umständen ... selbst auch noch dieser greise und schon beinah halb irre Fanatiker ...,holz-ignorabimus.xml,ja,,
943,GEORG,"sagt »konstatierend«, trocken; ohne sich in seiner Promenade dadurch stören zu
  lassen.","Noch zwei Stunden, und wir kriegen das schönste Gewitter!",holz-ignorabimus.xml,ja,,
1477,DUFROY,sagt »konzedierend«-widerwillig.,Die Tatsache als solche ... läßt sich nicht in Abrede stellen!,holz-ignorabimus.xml,ja,,
1170,GEORG,sagt »kühl«.,»Kleine Einwände« ist vorzüglich! ...,holz-ignorabimus.xml,ja,,
1080,GEORG,sagt »lapidar«.,Wie alle unsre sogenannt »wissenschaftlichen« Erklärungen!,holz-ignorabimus.xml,ja,,
3137,ONKEL LUDWIG,sagt »naiv«.,"Ja, wenn ihr doch aber alle drei damals grade zufällig ...",holz-ignorabimus.xml,ja,,
972,GEORG,sagt »nervös«.,Jedes zweite Wort von mir empfindest du jetzt als Vorwurf!,holz-ignorabimus.xml,ja,,
2530,ONKEL LUDWIG,"sagt »racheschnaubende«, empört-aufgebrachte Geste nach der Tür rechts rüber, durch die
  vorhin Uexküll gegangen.",Dieser ... Halunke!!,holz-ignorabimus.xml,ja,,
2034,UEXKÜLL,"sagt »Reineke im Tellereisen«, unbehaglichst.","Herr Doktor setzen mich durch Ihre direkte, wiederholte ... ich möchte wirklich beinah sagen, etwas unbarmherzige Anfrage ...",holz-ignorabimus.xml,ja,,
1533,GEORG,"sagt »trocken« seinen Satz schließend und jedem »rationalistischen Erklärungsversuch«
  damit die vielleicht allenfalls sonst noch »letzte Möglichkeit« nehmend.",Noch extra über die Kuppel gelassen!,holz-ignorabimus.xml,ja,,
1068,GEORG,sagt »trocken«; mit scheinbar anteilnehmendstem Bedauern.,Schade!,holz-ignorabimus.xml,ja,,
1351,DUFROY,sagt »überlegen«-ironisch.,"Es ist nur merkwürdig, oder vielmehr gradezu typisch, daß verheißne Wunder ...",holz-ignorabimus.xml,ja,,
781,MARIANNE,sagt »überlegen«.,Dann ist es mir ... aufrichtig ...,holz-ignorabimus.xml,ja,,
987,MARIANNE,"sagt »unbarmherzig«, »mitleidslos«.",Du änderst mit einer ... Vehemenz deine Pläne und Entschlüsse ...,holz-ignorabimus.xml,ja,,
2353,DUFROY,sagt »unbarmherzig«.,Zwei Kettchen dieser Art existieren nur!,holz-ignorabimus.xml,ja,,
75,ONKEL LUDWIG,sagt »unerbittlich«.,"Ich habe gesagt: Weiberknecht! Und wenn ich von einem sage: »Weiberknecht«, dann möcht ich ihm immer gleich das Messer in die Brust stoßen!",holz-ignorabimus.xml,ja,,
131,ONKEL LUDWIG,sagt »unschuldig« weiter.,"Deine, wie wir doch alle hoffen wollen, jetzt in Gott ruhende Schwester soll dir überdies und außerdem auch noch so furchtbar ähnlich gewesen sein, ja ... find das von mir nich komisch, aber ... warum heiratet ihr denn eigentlich nich?",holz-ignorabimus.xml,ja,,
1070,GEORG,sagt »unschuldig«; »naiv«; anscheinend ganz »Balduin Bählamm«.,"Ja, denke dir nur.",holz-ignorabimus.xml,ja,,
1761,UEXKÜLL,sagt »vorsichtig«.,Ich wage nicht ...,holz-ignorabimus.xml,ja,,
2934,ONKEL LUDWIG,sagt abbrechend und in seinem Tonfall jetzt fast verächtlich.,"Wiederhole und versichre, was dich bedünkt, mach mir und dir vor, was dir beliebt, und dem sei, wie ihm wolle!",holz-ignorabimus.xml,ja,,
2727,GEORG,sagt abbrechend; andres Thema; entsprechende Kopfbewegung nach der Tür rechts.,Und da oben? Dein andrer Patient? Bei dem du fast die ganze Zeit ...,holz-ignorabimus.xml,ja,,
3259,DUFROY,"sagt abermals wieder stehngeblieben und zu ihm rüber; noch immer in seinem selben Satz;
  letzter, wuchtigster Nachdruck.","Von jenem Tag ab ... bis zu dieser Sekunde und bis zu diesem Augenblick ... wo sie unter der schweren, grausam strafenden Bürde",holz-ignorabimus.xml,ja,,
961,MARIANNE,sagt ablehnend-ausweichend; mit Gewalt ihre Fassung bewahrend.,Du stellst mir Fragen ...,holz-ignorabimus.xml,ja,,
3632,GEORG,sagt ablehnend-heftigst.,Üblich handwerkliche Unfähigkeit und Unwissenheit der Ärzte! Du wirst doch nicht behaupten ...?,holz-ignorabimus.xml,ja,,
1491,ONKEL LUDWIG,sagt ablehnend-unwirsch.,»Aufhellung«!,holz-ignorabimus.xml,ja,,
2179,DUFROY,"sagt ablenkend zu Onkel Ludwig, der sich, die Hand wieder an der Hüfte, kaum noch auf
  den Beinen halten kann; entsprechende Geste nach dessen Sessel.",Nun bleibt dir doch nichts mehr übrig ...,holz-ignorabimus.xml,ja,,
3772,GEORG,sagt ablenkend-einfallend; von neuem Auto.,Hoffen wir s!,holz-ignorabimus.xml,ja,,
299,ONKEL LUDWIG,sagt ablenkend; nach dem Garten hin.,Eine Hitze draußen ...,holz-ignorabimus.xml,ja,,
3087,ONKEL LUDWIG,sagt abwehrend-stehend.,Du ... sollst nicht ...,holz-ignorabimus.xml,ja,,
608,DUFROY,sagt abwehrend; schmerzlichst.,"Wäre ich damals selbstlos gewesen ... ich würde mir heute ... vielleicht keinen Vorwurf machen! Daß ich von deiner Mutter nicht ließ, daß ich auf diese kurze, glücks- und schmerzensreiche Vereinigung mit ihr nicht verzichtete, einfach nicht verzichten konnte, daß ich dazu nicht die Kraft besaß ...",holz-ignorabimus.xml,ja,,
2287,DUFROY,sagt abweisend-sarkastisch.,Aber mein Hochzuverehrendster!,holz-ignorabimus.xml,ja,,
2631,GEORG,sagt abweisend-ungeduldig.,Wie soll von einer Uhr ...,holz-ignorabimus.xml,ja,,
755,MARIANNE,sagt abweisend; aufrecht; über seine »Zumutung« geradezu entrüstet.,"Mit einem solchen Geheimnis ... zwischen dir und mir ... hätte ich es je wieder wagen sollen, meiner Schwester unter die Augen zu treten?",holz-ignorabimus.xml,ja,,
3117,ONKEL LUDWIG,"sagt abwinkend, lebhaft.","Gewiß! Stimmt! Was dann aber weder ihn, noch meine liebe Mutter auch nur im geringsten behinderte ...",holz-ignorabimus.xml,ja,,
2708,DUFROY,"sagt achselzuckend-skeptisch; dann auch seinerseits die große Wortkanone auffahrend,
  Georg an unbarmherzig-umständlicher Genauigkeit nicht nachstehend und ihm auch im
  übrigen in keinem Punkt etwas schenkend.","»Recht!« Ein Postulat, dessen letzte Wurzel lediglich in einem ... meinetwegen allgemeinen Gemütsbedürfnis steckt ... eine Fordrung, eine sittlich-moralische Fordrung, mit der in unsrer Welt so gut wie nichts zu kongruieren und übereinzustimmen scheint ... ein Wunsch, ein sehnsüchtig menschlicher, bloßer Wunsch, dessen dermaleinst hoffentliche oder vermutliche Erfüllung sich nicht im Entferntesten beweisen, bewahrheiten oder auch nur wahrscheinlich machen läßt ... und dem jetzt und nun auch dieses nachmittäglich heutige, frappierend befremdliche, seltsam roh und brutal abstoßende Schluß- und Endresultat aller deiner bisherigen, einschlägigen, betreffenden Experimente und Bemühungen, wie du dies in denkbar größter Klarheit und unbarmherzig schneidendster Schärfe ja eben erst selbst hervorgekehrt hast, wieder direkt diametral und konträr feindselig entgegensteht ... ein solches, wenn auch an und für sich vielleicht noch so begreiflich verzeihliches Gefühlsverlangen und Seelendesiderat als erste, unentbehrbar tiefstunterste Grund-conditio sine qua",holz-ignorabimus.xml,ja,,
1740,UEXKÜLL,"sagt achselzuckend, fest.","Nicht, daß ich wüßte!",holz-ignorabimus.xml,ja,,
3625,MARIANNE,sagt achselzuckend; ähnlich wie vorhin.,"Wenn du glaubst ... wenn du dir einbildest, daß unser menschliches Unterbewußtsein ...",holz-ignorabimus.xml,ja,,
2620,DUFROY,"sagt achselzuckend; ähnlich, wie vorhin Georg.","Akute, zentrale Lähmung des gesamten Cerebrospinalsystems! Kehrt der Willensimpuls wieder ...",holz-ignorabimus.xml,ja,,
959,MARIANNE,"sagt achselzuckend; den noch immer in ihr tobenden Aufruhr geschickt vor ihm
  verbergend.",Ich kann dir darauf wirklich ...,holz-ignorabimus.xml,ja,,
688,DUFROY,sagt achselzuckend; eine kleine Pieke sich nun ebenfalls nicht versagen könnend.,"Sollte es dir lieber sein, sie mir erst nach Genuß ... deines unsterblichen Meisterwerks zu beantworten, so ...",holz-ignorabimus.xml,ja,,
1164,DUFROY,"sagt achselzuckend; noch immer wie vorhin; bereits beinahe mit einem Stich ins
  Verächtliche.",Die Motive einer Frau ...,holz-ignorabimus.xml,ja,,
601,MARIANNE,"sagt achselzuckend; noch immer, trotzdem, nicht überzeugt.",Für ... mich und ...,holz-ignorabimus.xml,ja,,
156,MARIANNE,sagt achselzuckend; seine Redseligkeit unterbrechend.,»Hohlkopf!« Du hast mir ... mehr als einmal selbst ...,holz-ignorabimus.xml,ja,,
353,GEORG,sagt achselzuckend.,Wenn dir das irgendwie eine Genugtuung oder Beruhigung gewährt ...,holz-ignorabimus.xml,ja,,
1655,ONKEL LUDWIG,sagt achselzuckend.,Es steht Ihnen frei ...,holz-ignorabimus.xml,ja,,
2752,DUFROY,sagt achselzuckend.,Leider ... noch sehr viel und erheblich schlimmer ... als ich es selbst nach dieser grauenhaften Attacke ...,holz-ignorabimus.xml,ja,,
2898,ONKEL LUDWIG,sagt achselzuckend.,Was du ... »gemeint« hast ...,holz-ignorabimus.xml,ja,,
3579,MARIANNE,sagt achselzuckend.,Wenn du ... nicht hörst ...!,holz-ignorabimus.xml,ja,,
498,DUFROY,sagt aggressiv-anerkennend.,Das sind wir doch bei dir ...,holz-ignorabimus.xml,ja,,
3655,MARIANNE,sagt ähnlich wie vorhin; fast rauh-befehlend.,Die schwüle Zimmerluft ... bedrückt mich ... und das Licht ...,holz-ignorabimus.xml,ja,,
1373,GEORG,sagt ähnlich wie vorhin; ingrimmigst »durch die Zähne«.,»Unparteiischer«?,holz-ignorabimus.xml,ja,,
3011,DUFROY,sagt ähnlich wie vorhin; nur jetzt bereits fast etwas ungeduldig.,Alles ganz recht und schön ... aber dann war das doch nur ...,holz-ignorabimus.xml,ja,,
1972,UEXKÜLL,sagt ähnlich wie vorhin; nur jetzt schon fast zurechtweisend-vorwurfsvoll.,Wenn Sie aber solchen nichtigen ... irrelevanten Verbalien auch nur die geringste Bedeutung beimessen ...,holz-ignorabimus.xml,ja,,
3220,ONKEL LUDWIG,sagt ähnlich wie vorhin; nur noch gesteigert.,So ... furchtbar ... so ... über alle Begriffe ... un-menschlich ... und entsetzenserregend ...,holz-ignorabimus.xml,ja,,
1217,ONKEL LUDWIG,sagt ähnlich wie vorhin; seine alte Feindseligkeit wieder aufnehmend.,Also die Exekution ...,holz-ignorabimus.xml,ja,,
737,MARIANNE,sagt ähnlich wie vorhin.,"Und doch hatten sich Schwestern ... bis das Leben sie dann ... zum erstenmal, trennte ...",holz-ignorabimus.xml,ja,,
1012,GEORG,sagt ähnlich wie vorhin.,"Dieses Gebiet ist ein so variables, unsre Erfahrung eine so fluktuierende ...",holz-ignorabimus.xml,ja,,
1413,ONKEL LUDWIG,sagt ähnlich wie vorhin.,Allwöchentlich dreimal! N Vergnügen war s nich!,holz-ignorabimus.xml,ja,,
1499,ONKEL LUDWIG,sagt ähnlich wie vorhin.,Das ist doch ...,holz-ignorabimus.xml,ja,,
1617,UEXKÜLL,sagt ähnlich wie vorhin.,Der alte Trick ...,holz-ignorabimus.xml,ja,,
1626,DUFROY,sagt ähnlich wie vorhin.,Man kann doch nicht immer bloß auf einem Fleck ...,holz-ignorabimus.xml,ja,,
2739,GEORG,sagt ähnlich wie vorhin.,Mit ein paar flüchtig hingeworfnen Zeilen ...,holz-ignorabimus.xml,ja,,
3160,ONKEL LUDWIG,sagt ähnlich wie vorhin.,Nu und allmählich ...,holz-ignorabimus.xml,ja,,
1709,DUFROY,sagt ähnlich zu Georg.,Mit einmal und plötzlich?,holz-ignorabimus.xml,ja,,
1567,ONKEL LUDWIG,sagt ähnlich; Georg jetzt wieder assistierend.,Auch n Standpunkt!,holz-ignorabimus.xml,ja,,
3390,DUFROY,sagt ähnlich; halb über sie gebeugt.,Wie ... fühlst du dich?,holz-ignorabimus.xml,ja,,
2506,ONKEL LUDWIG,sagt ähnlich; ihr assistierend.,Aber auch unter ganz und gar keiner Bedingung!,holz-ignorabimus.xml,ja,,
1722,ONKEL LUDWIG,sagt ähnlich; in Georgs Satz sofort weiter.,In dieser vergangnen Nacht ...,holz-ignorabimus.xml,ja,,
2241,ONKEL LUDWIG,"sagt ähnlich; mit einem sie beschuldigenden, milden Vorwurf nicht zurückhaltend.",Du mußt doch wissen ...,holz-ignorabimus.xml,ja,,
1406,ONKEL LUDWIG,"sagt ähnlich; mit sich beschwerendem, noch deutlich vernehmbarem Nachknurren.",Zwei Meter tief und nach rechts und links so quasi 'n paar Hühnersteigen als Treppen! Herr Baron muß sich doch überführt haben!,holz-ignorabimus.xml,ja,,
1874,UEXKÜLL,sagt ähnlich; nur allgemein.,Aber ganz unbedingt!,holz-ignorabimus.xml,ja,,
1743,DUFROY,"sagt ähnlich; nur jetzt aufgebracht-heftig; die ersten Worte zu Uexküll, die letzten zu
  Georg rüber.",Ich möchte wissen ... was hier diese Invektive ...,holz-ignorabimus.xml,ja,,
1629,DUFROY,sagt ähnlich; von einem zum andern.,Dieses ... entsetzliche ... »Datum«?!,holz-ignorabimus.xml,ja,,
3737,GEORG,sagt ähnlich; wenn auch etwas bezwungner.,Marianne!!,holz-ignorabimus.xml,ja,,
2145,DUFROY,sagt ähnlich; wenn auch maßvoller.,"Falls du wünschst, daß wir die Fenster ...",holz-ignorabimus.xml,ja,,
1399,DUFROY,sagt ähnlich.,Ich hätte diesen alten Festraum sonst schwerlich ...,holz-ignorabimus.xml,ja,,
1535,UEXKÜLL,sagt ähnlich.,Selbsttäuschung!,holz-ignorabimus.xml,ja,,
1641,UEXKÜLL,sagt ähnlich.,Was ist ... das?,holz-ignorabimus.xml,ja,,
1668,UEXKÜLL,sagt ähnlich.,Ich kann es noch gar nicht ...,holz-ignorabimus.xml,ja,,
1763,GEORG,sagt ähnlich.,Wie sollte das ... möglich sein?!,holz-ignorabimus.xml,ja,,
2326,ONKEL LUDWIG,sagt ähnlich.,"Quod rectum partibus, aequim toti! Was den Teilen früher recht war, müßte doch jetzt schließlich dem Ganzen ...",holz-ignorabimus.xml,ja,,
3150,ONKEL LUDWIG,sagt ähnlich.,Das klang ja ...,holz-ignorabimus.xml,ja,,
3429,DUFROY,sagt ähnlich.,Dir hat doch niemand ...,holz-ignorabimus.xml,ja,,
3778,MARIANNE,sagt ähnlich.,Nachtigallen ... und ...,holz-ignorabimus.xml,ja,,
2523,DUFROY,sagt alle zehn Fingerspitzen vor der Stirn.,Man kommt sich bald wirklich ...,holz-ignorabimus.xml,ja,,
3375,GEORG,"sagt allerenergischst; zuletzt voller, fester Blick auf die Uhr.",Sie darf nicht erwachen!! Wenigstens nicht vor Zwölf!!,holz-ignorabimus.xml,ja,,
3103,ONKEL LUDWIG,"sagt allernachdrücklichst, Dufroys von ihm so lange bestrittner Auffassung nicht mehr
  entgegentretend.",Seelen- und Sinnenrausch ...,holz-ignorabimus.xml,ja,,
2767,GEORG,"sagt allernachdrücklichst, ohne sich durch Dufroys Einrede auch nur im geringsten stören
  zu lassen, in seinem Satz weiter und ihn zu Ende führend.","Als sie den süßen Saffianband in diesem unheimlich umfangreich diskreten, ehemals alt-brodersenschen Erb-, Hausrats- und Familienstück ... vor Jahr und Tag schon, wie ich vermute, und zu ihrem eignen, höchstwahrscheinlich nicht geringen Entsetzen und Schrecken plötzlich entdeckte und vorfand!",holz-ignorabimus.xml,ja,,
1579,DUFROY,sagt allerschärfst; zu Georg rüber; gegen dessen »Art« sich auflehnend.,Erlaube! Dann hat es doch absolut keinen Sinn mehr ...,holz-ignorabimus.xml,ja,,
2490,ONKEL LUDWIG,sagt allerschwerst; nickend; ganz erschöpft.,Ge-org!!,holz-ignorabimus.xml,ja,,
3782,GEORG,sagt allerstärkst; sich vergeblich im Raum umblickend.,Was?!,holz-ignorabimus.xml,ja,,
1759,ONKEL LUDWIG,"sagt allerzornigst; einen Schritt vor Dufroy zurück; mit seinem Stock wieder
  aufstoßend.",Magnifice!,holz-ignorabimus.xml,ja,,
3174,ONKEL LUDWIG,"sagt alles, was er über diesen »Hohlkopf« zu Marianne bisher gepoltert, damit, wenn auch
  nur vor sich selbst, »redressierend und zurücknehmend«.",Ich habe ihn schon immer ... zum mindesten ...,holz-ignorabimus.xml,ja,,
193,ONKEL LUDWIG,"sagt allmählich wieder zu sich kommend; dann sich »ermannend« und schließlich ganz
  wieder der Alte.","Hat mir dein hochmütiger ... stolzer ... auf seine gepriesne, siegende Mannsschönheit mit Recht eingebildeter Herr Großvater ... als er mir als wohlbestallter Dekan seiner sich »philosophisch« schimpfenden Fakultät meine bahnbrechende Ephebenarbeit mit dem bekannten impertinenten, einem das Blut in die Schläfen treibenden Augurenlächeln wieder ein- und zurückhändigte, auch orakelt!",holz-ignorabimus.xml,ja,,
1452,UEXKÜLL,"sagt als »begriffe« er von alledem »nichts«; von Dufroy zu Onkel Ludwig rüber; beide
  Worte betont.",Ahnen Sie ...?,holz-ignorabimus.xml,ja,,
2551,ONKEL LUDWIG,"sagt als das enfant terrible das er sein Lebtag geblieben, naiv-treuherzigst in seinen
  Taschen kramend.",Da hatte ich doch ... als wir vorhin im Kabinett ...,holz-ignorabimus.xml,ja,,
129,ONKEL LUDWIG,"sagt als der mangelhafte Psychologe, der er ist, die Stimmung, die er in ihr
  hervorgerufen, nicht verstehend und begreifend; seine ganze Naivität nichts ahnend
  znsammenfassend.","Du bist seitdem hier bei ihm im Haus, ihr hattet schon vorher, die ganzen Jahre, wenn auch nur aus der Ferne und erst mal präliminarisch ...",holz-ignorabimus.xml,ja,,
2174,UEXKÜLL,"sagt als Dritter im Chorus, mit ganz besondrem Genuß.",Genau so!,holz-ignorabimus.xml,ja,,
643,DUFROY,sagt als hätte er ihm eine Rede in Volapük gehalten.,»Unsrer ... ganzen ...«?,holz-ignorabimus.xml,ja,,
502,DUFROY,sagt als hätte er nicht ganz recht gehört; die Augen leicht zusammengekniffen.,"Ein Wissensgebiet, das mir schon rein an sich und als solches ...?",holz-ignorabimus.xml,ja,,
2724,DUFROY,sagt als hätte er nicht recht gehört; ganz überrascht.,»In meinem ...?«,holz-ignorabimus.xml,ja,,
348,ONKEL LUDWIG,sagt als hätte er nicht recht gehört; zu Georg rüber; empört.,"Und die versprochne Botschaft? Die Auffordrung dazu? Der deutliche Wink aus jenen andren Sphären, der uns so bestimmt vor her ...",holz-ignorabimus.xml,ja,,
1228,ONKEL LUDWIG,sagt als hätte er nicht recht gehört.,»Ent ...?«,holz-ignorabimus.xml,ja,,
1013,MARIANNE,sagt als hätte er seine richtigstellende Einwendung gar nicht erhoben.,Ich weiß nur ... daß mich jetzt ... schon der bloße Gedanke an diese furchtbare Erscheinung ...,holz-ignorabimus.xml,ja,,
